Find,ID,Year,Group,sdb.ra,vig.ra,sex,age,rank,rank2,rc,outdeg.grm,indeg.grm,eigen.pr,betw.pr,outdeg.agg,indeg.agg
07D|2010,07D,2010,F,32.88,,Male,15.6,90.625,80.6452,0.816859917,,,,,,
14L|2010,14L,2010,F,8.56,,Female,11.7,79.3103,84.4828,0.940620985,,,,,,
25L|2010,25L,2010,F,50.46,,Male,10.6,68.75,61.2903,0.782861301,0,0.867,0.011,0,0.055,0.004
29B|2010,29B,2010,F,48.97,,Female,17.6,0,10.3448,0.908329228,0.252,0,0.052,0.001,0,0.021
30C|2010,30C,2010,F,23.97,,Male,16.5,84.375,100,0.898022785,,,,,,
33T|2010,33T,2010,F,32.2,,Male,7.6,46.875,51.6129,0.64088095,0,0,0.048,0.018,0.035,0.032
34N|2010,34N,2010,F,10.27,,Female,10.6,22.4138,27.5862,0.829887988,0,0.882,0.135,0.01,0.014,0.022
40L|2010,40L,2010,F,41.27,,Female,10.6,31.0345,60.3448,0.84587735,,,,,,
43H|2010,43H,2010,F,26.27,,Male,13.3,37.5,29.0323,0.941382387,,,,,,
44J|2010,44J,2010,F,35.08,,Female,12.7,37.931,3.4483,0.760937434,0.368,0,0.102,0.015,0,0.046
59A|2010,59A,2010,F,22.37,,Female,17.7,48.2759,75.8621,0.871167004,,,,,,
61J|2010,61J,2010,F,21.18,,Female,11.4,24.1379,62.069,0.838534056,,,,,,
62H|2010,62H,2010,F,17.67,,Female,13.6,55.1724,44.8276,0.859210813,,,,,,
62V|2010,62V,2010,F,27.34,,Female,6.7,3.4483,43.1034,0.835767914,0.967,0.223,0.1,0.022,0.007,0.041
63V|2010,63V,2010,F,7.6,,Female,6.7,13.7931,12.069,0.90062827,1.245,0.444,0.076,0.021,0,0.036
73B|2010,73B,2010,F,29.41,,Female,16.5,39.6552,39.6552,0.843460139,,,,,,
78T|2010,78T,2010,F,11.91,,Female,7.6,96.5517,94.8276,0.962095495,,,,,,
85B|2010,85B,2010,F,30.62,,Male,16.6,100,93.5484,0.754550989,1.518,8.125,0.268,0.026,0.047,0
88I|2010,88I,2010,F,13.43,,Female,12.6,46.5517,51.7241,0.8758437,0.705,1.152,0.18,0.011,0.007,0.053
