id,sire,dam
22,NA,NA
073,NA,NA
076,NA,NA
090,NA,NA
091,NA,NA
092,NA,NA
065,NA,NA
116,NA,NA
022,NA,NA
058,NA,NA
062,NA,NA
AC,NA,NA
DM,NA,NA
RB,NA,NA
004,NA,NA
031,NA,NA
944,NA,NA
F32,NA,NA
E42,NA,NA
e1e0,NA,NA
e1e2,NA,NA
e1e4,NA,NA
e2e0,NA,NA
e2e1,NA,NA
e2e2,NA,NA
e2e3,NA,NA
e3e0,NA,NA
e3e1,NA,NA
e3e3,NA,NA
e4e1,NA,NA
e4e2,NA,NA
e5e0,NA,NA
e5e3,NA,NA
e5e5,NA,NA
e60e,NA,NA
e6e1,NA,NA
e6e3,NA,NA
e7e0,NA,NA
e7e1,NA,NA
e7e3,NA,NA
e8e0,NA,NA
e8e1,NA,NA
e8e2,NA,NA
e8e3,NA,NA
e9e0,NA,NA
e9e1,NA,NA
M9,NA,NA
M352,NA,NA
035,NA,NA
M254,NA,NA
H02,742,971
I13,381,869
H99,620,679
H74,722,B75
J16,833,845
I68,632,874
I78,944,A94
I63,823,A71
I51,843,577
J08,772,348
J61,732,D97
J66,B09,D75
J69,732,D83
J79,A74,845
K04,632,985
K03,772,D82
J92,632,699
L97,722,678
L92,F27,A71
L91,843,B75
L36,856,G11
L43,761,869
L68,B21,845
L37,856,G80
K96,823,G68
L19,A95,D83
L07,A34,G17
L80,F27,679
K80,722,348
L22,A48#,E55
N16,A66,953
O78,833,D92
N60,856,470
O30,722,H38
O35,C78,D82
N37,C99,D97
O51,F27,F74
O28,620,C12
O52,C18,577
O96,791,D83
N40,791,B60
O65,C77,D98
O27,A98,E55
O69,F27,929
O77,761,H64
O36,722,G80
O22,F27,679
R51,F26,E04
S07,C77,869
S15,C18,I12
R53,G26,I56
S55,C77,D75
S73,A34,971
R52,761,H38
R59,843,874
S97,F05,C12
S11,761,B64
S76,A48#,D07
S75,C78,D97
S56,A87,B10
S47,D38,A71
R27,G21,I95
S10,B76,I21
S54,C78,B60
S78,A48#,777
S60,C18,F74
S89,875,D98
S38,722,G80
S09,722,470
S16,C56,D69
R70,A66,985
V60,F05,H45
T51,G26,E04
T56,F05,C63
T95,A34,D07
T54,H92,G11
T98,E99,845
T53,C78,I56
V58,C18,699
T83,788,H64
T86,C84,B64
T84,F05,953
V29,H79,483
V65,E54,K11
V44,F05,D92
T87,722,I21
T52,G21,I95
T77,H79,A94
T88,C98,577
V99,A34,D97
X54,G23,D82
V92,H79,F74
X81,C60,J01
V81,C98,B56
X33,D10,777
X56,722,G11
V80,C18,A71
X80,D10,K84
X78,H92,869
X37,D91,971
X67,E99,845
X91,E05,D07
X51,E54,I88
X17,A66,874
V95,E05,C63
X82,D10,K83
X34,D71,K81
X58,647,I21
X79,I23,K79
X83,E05,H45
Z93,D71,G17
Z83,I75,D98
Z17,D71,K28
Z14,C18,B75
Z97,F32,J85
Z94,D71,777
Z50,C98,G43
Z07,F32,I12
Z67,E05,C63
Z81,I47,G80
Z89,G37,D75
Z88,G37,D92
Z75,J43,E04
02A,E05,G68
23A,E05,D07
Z11,C18,C87
Z15,C98,874
08A,E54,C12
Z46,C18,699
00A,H86,971
17A,594,J95
Z22,D71,D83
14A,D91,J41
19A,J26,O55
04A,742,O56
07A,F32,J89
28A,E05,B60
17B,E05,J99
39A,D78,B64
52A,D71,J01
65A,D11,L84
50A,D71,K84
47B,G21,N41
86A,717,E55
45A,E94,I95
99A,K22,577
21B,C98,679
97A,G37,777
35B,E05,971
55A,E54,G43
41B,J21,J85
51B,I85,G11
95A,G37,D07
81A,A66,J29
24B,C18,985
32B,K85,H64
13B,I20,J41
49A,A66,K83
00B,H87,E65
33A,D71,D75
53B,E54,I21
96A,G37,G68
92A,E05,K81
67A,I61,A71
15B,722,K28
80A,C18,E66
44A,E54,I56
27B,F32,B75
56A,A66,C87
50B,A66,B56
46B,E54,J74
52B,E54,J71
56B,E05,B60
64A,C18,699
90B,E05,G17
